battleTime,event_id,event_mode,event_map,battle_mode,battle_type,battle_rank,battle_trophyChange,battle_result,battle_duration,battle_starPlayer_tag,battle_starPlayer_name,battle_starPlayer_brawler_id,battle_starPlayer_brawler_name,battle_starPlayer_brawler_power,battle_starPlayer_brawler_trophies,player_tag,brawler_id_used
20220708T122334.000Z,15000541,hunters,Quick and Restless,hunters,ranked,2.0,8.0,,,,,,,,,#LGLJCPVYG,16000004.0
20220708T122147.000Z,15000541,hunters,Quick and Restless,hunters,ranked,10.0,-3.0,,,,,,,,,#LGLJCPVYG,16000004.0
20220708T121939.000Z,15000548,knockout,Out in the Open,knockout,championshipChallenge,,,defeat,81.0,#YP9YU2YUG,DONAL,16000024.0,ROSA,11.0,0.0,#LGLJCPVYG,16000004.0
20220708T121704.000Z,15000547,knockout,Hidden Enemy,knockout,ranked,,8.0,victory,70.0,#L80QVCLCQ,こむらのじゅたろう！,16000054.0,FANG,5.0,161.0,#LGLJCPVYG,16000034.0
20220706T125136.000Z,15000556,hotZone,Imbalance,hotZone,ranked,,8.0,victory,123.0,#LCGYU9G99,sankiu,16000000.0,SHELLY,7.0,122.0,#LGLJCPVYG,16000019.0
20220706T125029.000Z,15000508,duoShowdown,Canyon Rivers,duoShowdown,ranked,4.0,,,,,,,,,,#LGLJCPVYG,16000019.0
20220706T124811.000Z,15000553,bounty,Don't turn around,bounty,ranked,,8.0,victory,120.0,#809J9VCU0,Figure 8_YT,16000025.0,CARL,5.0,16.0,#LGLJCPVYG,16000019.0
20220706T124546.000Z,15000555,hotZone,Trident,hotZone,ranked,,8.0,victory,79.0,#LJ2PYGJJU,noob king,16000034.0,JACKY,2.0,20.0,#LGLJCPVYG,16000019.0
20220702T134217.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,ranked,,-1.0,defeat,136.0,#LUC0V20V9,syunki,16000025.0,CARL,5.0,165.0,#LGLJCPVYG,16000019.0
20220702T133925.000Z,15000007,gemGrab,Hard Rock Mine,gemGrab,ranked,,8.0,victory,103.0,#YCJJ8C2GR,지환 브롤 마스터,16000004.0,RICO,7.0,120.0,#LGLJCPVYG,16000019.0
